PDB,Linreg,diff pdb em,group
6nbc,BEFORE,26116.87,a
4chv,BEFORE,95265.06,a
6d83,BEFORE,91732.5,a
5vai,BEFORE,39398.51,a
5wpq,BEFORE,23493.92,a
6cmx,BEFORE,40326.19,a
5g4f,BEFORE,145197.78,a
5g4g,BEFORE,134657.19,a
5ujz,BEFORE,103602.06,b
5z3u,BEFORE,135201.55,b
6bo4,BEFORE,85021.19,b
3j96,BEFORE,256676.56,b
5k12,BEFORE,2917.96,b
5fmg,BEFORE,16353.5,b
5vc7,BEFORE,63275.47,b
5fkz,BEFORE,270086.22,b
4aas,BEFORE,118785.19,b
5fkx,BEFORE,190196.42,b
6eyd,BEFORE,79906.41,b
6mdr,BEFORE,96129.69,b
3j7b,BEFORE,150034.45,b
3iyf,BEFORE,263155.81,b
3j02,BEFORE,134956.13,b
6hz6,BEFORE,123203.41,c
6ezj,BEFORE,132851.38,c
5a20,BEFORE,408673.6,c
5y5x,BEFORE,13846.93,c
5vy3,BEFORE,218761.5,c
5u8t,BEFORE,110657.37,d
5lmp,BEFORE,139748.81,d
5lmo,BEFORE,154427.18,d
5lmu,BEFORE,149778.31,d
6mdn,BEFORE,149316.25,d
5k7l,BEFORE,97930.84,d
6f3k,BEFORE,43006.7,d
5a31,BEFORE,21800.5,d
6nbc,AFTER,89177.74281,a
4chv,AFTER,43311.50225,a
6d83,AFTER,2971.522541,a
5vai,AFTER,56818.65,a
5wpq,AFTER,80496.90178,a
6cmx,AFTER,71118.74862,a
5g4f,AFTER,90046.99046,a
5g4g,AFTER,91474.74616,a
5ujz,AFTER,16878.3067,b
5z3u,AFTER,41016.4971,b
6bo4,AFTER,14196.7977,b
3j96,AFTER,209382.1661,b
5k12,AFTER,134618.4938,b
5fmg,AFTER,91434.5387,b
5vc7,AFTER,37726.2142,b
5fkz,AFTER,339198.5197,b
4aas,AFTER,83956.8332,b
5fkx,AFTER,259358.9663,b
6eyd,AFTER,16257.8038,b
6mdr,AFTER,12289.9746,b
3j7b,AFTER,33378.51363,b
3iyf,AFTER,219149.347,b
3j02,AFTER,179010.3061,b
6hz6,AFTER,26984.10268,c
6ezj,AFTER,18122.33363,c
5a20,AFTER,460270.8963,c
5y5x,AFTER,100864.5609,c
5vy3,AFTER,102586.5535,c
5u8t,AFTER,22365.52579,d
5lmp,AFTER,56199.29504,d
5lmo,AFTER,54885.12052,d
5lmu,AFTER,45775.04873,d
6mdn,AFTER,53983.36209,d
5k7l,AFTER,5741.7034,d
6f3k,AFTER,55393.29029,d
5a31,AFTER,101897.871,d
