PDB,Linreg,diff pdb em,group
4chv,BEFORE,-95265.06,a
5g5p,BEFORE,-45954.04,a
5fwk,BEFORE,-71977.78,a
6e9e,BEFORE,-38519.93,a
5fkw,BEFORE,-70940.54,a
5fku,BEFORE,-54154.81,a
6mgw,BEFORE,-14228.92,a
6iy3,BEFORE,69167.56,a
5uz7,BEFORE,-31182.99,a
6niy,BEFORE,246787.52,a
5mz6,BEFORE,-62940.91,a
3jby,BEFORE,-81228.65,a
6cmx,BEFORE,247621.82,a
5g4f,BEFORE,-145197.78,b
6gsa,BEFORE,-202967.09,b
5uk2,BEFORE,-114850.78,b
5z3t,BEFORE,-126005.4,b
5gaq,BEFORE,-90495.16,b
6bo5,BEFORE,-124291.71,b
3j98,BEFORE,-261369.72,b
6f6w,BEFORE,-218890.88,b
6ces,BEFORE,-12900.85,b
2ykr,BEFORE,144412.94,b
5fkx,BEFORE,190196.42,b
6c6t,BEFORE,-102292.59,b
6c6s,BEFORE,-58847.22,b
3izk,BEFORE,-130387.81,b
3izj,BEFORE,-208139.43,b
3izm,BEFORE,-303999.94,b
6hz6,BEFORE,-125451.28,c
6hz8,BEFORE,-112261.53,c
3g37,BEFORE,-60182.32,c
2vdc,BEFORE,167844.75,c
4uer,BEFORE,28514,c
5lms,BEFORE,-138746.5,c
5lmt,BEFORE,-159497.44,c
5lmv,BEFORE,-215584.74,c
5tji,BEFORE,-181875.12,d
5jm0,BEFORE,-62221.5,d
3j9c,BEFORE,-165976.23,d
5fl2,BEFORE,-1992.09,d
3j6c,BEFORE,101466.91,d
4chv,AFTER,10424.73959,a
5g5p,AFTER,64501.43555,a
5fwk,AFTER,28748.66803,a
6e9e,AFTER,70470.00274,a
5fkw,AFTER,23003.87806,a
5fku,AFTER,36625.09991,a
6mgw,AFTER,90814.30068,a
6iy3,AFTER,160968.2715,a
5uz7,AFTER,78114.98504,a
6niy,AFTER,355777.9251,a
5mz6,AFTER,45454.83157,a
3jby,AFTER,13206.84266,a
6cmx,AFTER,354103.9643,a
5g4f,AFTER,-79584.27404,b
6gsa,AFTER,-109938.4231,b
5uk2,AFTER,-24060.42391,b
5z3t,AFTER,-33939.32776,b
5gaq,AFTER,-635.0405473,b
6bo5,AFTER,-32813.57525,b
3j98,AFTER,-210919.3234,b
6f6w,AFTER,-132815.1675,b
6ces,AFTER,72483.54274,b
2ykr,AFTER,191557.7792,b
5fkx,AFTER,252443.7555,b
6c6t,AFTER,-24780.31844,b
6c6s,AFTER,17335.57847,b
3izk,AFTER,-112228.4786,b
3izj,AFTER,-192713.2817,b
3izm,AFTER,-292294.4818,b
6hz6,AFTER,-59467.88044,c
6hz8,AFTER,-46853.68143,c
3g37,AFTER,3509.715752,c
2vdc,AFTER,141517.2228,c
4uer,AFTER,-24625.01411,c
5lms,AFTER,-116020.4831,c
5lmt,AFTER,-134591.4289,c
5lmv,AFTER,-196308.8588,c
5tji,AFTER,-113123.0377,d
5jm0,AFTER,9300.832549,d
3j9c,AFTER,-88464.58769,d
5fl2,AFTER,40943.03835,d
3j6c,AFTER,192885.4281,d
