PDB,EMDB,PDBVOL,EM50gmm,LINREG,GROUP
6nbc,emd_0407,58081.83,31964.96,BEFORE,a
4chv,emd_2526,165940.28,70675.22,BEFORE,a
6d83,emd_7453,310319.06,218586.56,BEFORE,a
5vai,emd_8653,163213.81,123815.3,BEFORE,a
5wpq,emd_8881,265018.31,241524.39,BEFORE,a
6cmx,emd_7526,157446.34,117120.15,BEFORE,a
5g4f,emd_3436,600303.75,455105.97,BEFORE,a
5g4g,emd_3435,633974.25,499317.06,BEFORE,a
5ujz,emd_8561,325664.47,222062.41,BEFORE,b
5z3u,emd_6882,322796.03,187594.48,BEFORE,b
6bo4,emd_7118,363439.16,278417.97,BEFORE,b
3j96,emd_6206,777696.94,521020.38,BEFORE,b
5k12,emd_8194,212372.2,215290.16,BEFORE,b
5fmg,emd_3231,697911.25,681557.75,BEFORE,b
5vc7,emd_8658,398309.81,335034.34,BEFORE,b
5fkz,emd_3205,629961.4,900047.62,BEFORE,b
4aas,emd_2000,951208.44,832423.25,BEFORE,b
5fkx,emd_3204,636787.7,826984.12,BEFORE,b
6eyd,emd_3983,404967.25,325060.84,BEFORE,b
6mdr,emd_9104,514029.44,417899.75,BEFORE,b
3j7b,emd_6314,1072847.64,922813.19,BEFORE,b
3iyf,emd_5140,1160833.12,897677.31,BEFORE,b
3j02,emd_5258,1167315.25,1302271.38,BEFORE,b
6hz6,emd_0312,578416.38,455212.97,BEFORE,c
6ezj,emd_3999,603612.44,470761.06,BEFORE,c
5a20,emd_2993,1362272.52,1770946.12,BEFORE,c
5y5x,emd_6810,780500.38,794347.31,BEFORE,c
5vy3,emd_8741,800046.81,581285.31,BEFORE,c
5u8t,emd_8519,746154.62,635497.25,BEFORE,d
5lmp,emd_4075,1035429.62,895680.81,BEFORE,d
5lmo,emd_4074,1029832.56,875405.38,BEFORE,d
5lmu,emd_4080,1013547.81,863769.5,BEFORE,d
6mdn,emd_9101,665446.31,516130.06,BEFORE,d
5k7l,emd_8215,512215.84,414285,BEFORE,d
6f3k,emd_4179,459764.64,416757.94,BEFORE,d
5a31,emd_2925,1292528.75,1314329.25,BEFORE,d
6nbc,emd_0407,-57212.78281,31964.96,AFTER,a
4chv,emd_2526,113986.7223,70675.22,AFTER,a
6d83,emd_7453,215615.0375,218586.56,AFTER,a
5vai,emd_8653,66996.65,123815.3,AFTER,a
5wpq,emd_8881,161027.4882,241524.39,AFTER,a
6cmx,emd_7526,46001.40138,117120.15,AFTER,a
5g4f,emd_3436,545152.9605,455105.97,AFTER,a
5g4g,emd_3435,590791.8062,499317.06,AFTER,a
5ujz,emd_8561,238940.7167,222062.41,AFTER,b
5z3u,emd_6882,228610.9771,187594.48,AFTER,b
6bo4,emd_7118,264221.1723,278417.97,AFTER,b
3j96,emd_6206,730402.5461,521020.38,AFTER,b
5k12,emd_8194,80671.66619,215290.16,AFTER,b
5fmg,emd_3231,590123.2113,681557.75,AFTER,b
5vc7,emd_8658,297308.1258,335034.34,AFTER,b
5fkz,emd_3205,560849.1003,900047.62,AFTER,b
4aas,emd_2000,916380.0832,832423.25,AFTER,b
5fkx,emd_3204,567625.1537,826984.12,AFTER,b
6eyd,emd_3983,308803.0362,325060.84,AFTER,b
6mdr,emd_9104,405609.7754,417899.75,AFTER,b
3j7b,emd_6314,956191.7036,922813.19,AFTER,b
3iyf,emd_5140,1116826.657,897677.31,AFTER,b
3j02,emd_5258,1123261.074,1302271.38,AFTER,b
6hz6,emd_0312,482197.0727,455212.97,AFTER,c
6ezj,emd_3999,488883.3936,470761.06,AFTER,c
5a20,emd_2993,1310675.224,1770946.12,AFTER,c
5y5x,emd_6810,693482.7491,794347.31,AFTER,c
5vy3,emd_8741,683871.8635,581285.31,AFTER,c
5u8t,emd_8519,657862.7758,635497.25,AFTER,d
5lmp,emd_4075,951880.105,895680.81,AFTER,d
5lmo,emd_4074,930290.5005,875405.38,AFTER,d
5lmu,emd_4080,909544.5487,863769.5,AFTER,d
6mdn,emd_9101,570113.4221,516130.06,AFTER,d
5k7l,emd_8215,408543.2966,414285,AFTER,d
6f3k,emd_4179,361364.6497,416757.94,AFTER,d
5a31,emd_2925,1212431.379,1314329.25,AFTER,d
