PDB,EMDB,PDBVOL,EM50gmm,LINREG,GROUP
4chv,emd_2526,165940.28,70675.22,BEFORE,a
5g5p,emd_3440,114287.91,68333.87,BEFORE,a
5fwk,emd_3337,219735.14,147757.36,BEFORE,a
6e9e,emd_9013,130172.07,91652.14,BEFORE,a
5fkw,emd_3202,293241.59,222301.05,BEFORE,a
5fku,emd_3201,327539.84,273385.03,BEFORE,a
6mgw,emd_9113,172948.17,158719.25,BEFORE,a
6iy3,emd_9749,316475.97,385643.53,BEFORE,a
5uz7,emd_8623,126833.38,95650.39,BEFORE,a
6niy,emd_9382,130166.95,376954.47,BEFORE,a
5mz6,emd_3583,136612.16,73671.25,BEFORE,a
3jby,emd_6488,287919.12,206690.47,BEFORE,a
6cmx,emd_7526,157352.52,404974.34,BEFORE,a
5g4f,emd_3436,600303.75,455105.97,BEFORE,b
6gsa,emd_0051,303166.88,100199.79,BEFORE,b
5uk2,emd_8564,327426.62,212575.84,BEFORE,b
5z3t,emd_6881,313599.88,187594.48,BEFORE,b
5gaq,emd_8015,337508.91,247013.75,BEFORE,b
6bo5,emd_7119,319972.19,195680.48,BEFORE,b
3j98,emd_6208,764647.81,503278.09,BEFORE,b
6f6w,emd_4192,378525.88,159635,BEFORE,b
6ces,emd_7464,386018.69,373117.84,BEFORE,b
2ykr,emd_1884,800474.81,944887.75,BEFORE,b
5fkx,emd_3204,636787.7,826984.12,BEFORE,b
6c6t,emd_7350,471340,369047.41,BEFORE,b
6c6s,emd_7349,485749.38,426902.16,BEFORE,b
3izk,emd_5247,1114631.75,984243.94,BEFORE,b
3izj,emd_5246,1144255.12,936115.69,BEFORE,b
3izm,emd_5249,1184581.5,880581.56,BEFORE,b
6hz6,emd_0312,596294.69,470843.41,BEFORE,c
6hz8,emd_0314,602532.75,490271.22,BEFORE,c
3g37,emd_1674,621129.44,560947.12,BEFORE,c
2vdc,emd_1440,1596798.75,1764643.5,BEFORE,c
4uer,emd_2845,1887392.75,1915906.75,BEFORE,c
5lms,emd_4078,1065136.12,926389.62,BEFORE,c
5lmt,emd_4079,1041508.44,882011,BEFORE,c
5lmv,emd_4083,1102530.12,886945.38,BEFORE,c
5tji,emd_8414,566286.56,384411.44,BEFORE,d
5jm0,emd_8166,536261.44,474039.94,BEFORE,d
3j9c,emd_6224,471346.82,305370.59,BEFORE,d
5fl2,emd_3206,846101.4,844109.31,BEFORE,d
3j6c,emd_5890,320618.34,422085.25,BEFORE,d
4chv,emd_2526,172081.0014,70675.22,AFTER,a
5g5p,emd_3440,104159.9446,68333.87,AFTER,a
5fwk,emd_3337,194576.699,147757.36,AFTER,a
6e9e,emd_9013,101049.2691,91652.14,AFTER,a
5fkw,emd_3202,300949.2912,222301.05,AFTER,a
5fku,emd_3201,345170.3694,273385.03,AFTER,a
6mgw,emd_9113,144343.9187,158719.25,AFTER,a
6iy3,emd_9749,287972.0137,385643.53,AFTER,a
5uz7,emd_8623,104680.946,95650.39,AFTER,a
6niy,emd_9382,100449.9029,376954.47,AFTER,a
5mz6,emd_3583,111380.3222,73671.25,AFTER,a
3jby,emd_6488,260027.3868,206690.47,AFTER,a
6cmx,emd_7526,124958.3202,404974.34,AFTER,a
5g4f,emd_3436,601652.078,455105.97,AFTER,b
6gsa,emd_0051,280059.438,100199.79,AFTER,b
5uk2,emd_8564,309994.5432,212575.84,AFTER,b
5z3t,emd_6881,288990.6231,187594.48,AFTER,b
5gaq,emd_8015,303127.0193,247013.75,AFTER,b
6bo5,emd_7119,290736.3064,195680.48,AFTER,b
3j98,emd_6208,778049.9682,503278.09,AFTER,b
6f6w,emd_4192,350724.0245,159635,AFTER,b
6ces,emd_7464,360016.1236,373117.84,AFTER,b
2ykr,emd_1884,827348.7453,944887.75,AFTER,b
5fkx,emd_3204,628818.9559,826984.12,AFTER,b
6c6t,emd_7350,439443.5496,369047.41,AFTER,b
6c6s,emd_7349,455674.9576,426902.16,AFTER,b
3izk,emd_5247,1089504.832,984243.94,AFTER,b
3izj,emd_5246,1138611.451,936115.69,AFTER,b
3izm,emd_5249,1181464.418,880581.56,AFTER,b
6hz6,emd_0312,570943.632,470843.41,AFTER,c
6hz8,emd_0314,577112.8666,490271.22,AFTER,c
3g37,emd_1674,612342.9513,560947.12,AFTER,c
2vdc,emd_1440,1611915.218,1764643.5,AFTER,c
4uer,emd_2845,1869290.77,1915906.75,AFTER,c
5lms,emd_4078,1042536.303,926389.62,AFTER,c
5lmt,emd_4079,1009759.519,882011,AFTER,c
5lmv,emd_4083,1077536.721,886945.38,AFTER,c
5tji,emd_8414,536314.064,384411.44,AFTER,d
5jm0,emd_8166,531382.8251,474039.94,AFTER,d
3j9c,emd_6224,433507.268,305370.59,AFTER,d
5fl2,emd_3206,836813.7727,844109.31,AFTER,d
3j6c,emd_5890,350805.5906,422085.25,AFTER,d
