PDB,Linreg,diff pdb em,group
5fl2,BEFORE,-10443.4,a
5sv9,BEFORE,-47741.98,a
6e9f,BEFORE,-61586.97,a
3j0e,BEFORE,-37451.44,a
6jm9,BEFORE,-54598.39,a
6eoj,BEFORE,-91686.72,a
5a22,BEFORE,-87804.51,a
5uk2,BEFORE,-134522,a
3j6c,BEFORE,288243.5,a
6ifk,BEFORE,-104203.86,a
5z3u,BEFORE,-139945.57,a
5g2x,BEFORE,-147714.55,a
6b40,BEFORE,-125924.03,a
6mlm,BEFORE,-141447,a
3jbx,BEFORE,-99412.28,a
5g5p,BEFORE,-49774.41,a
6f6w,BEFORE,-88098.82,a
6ces,BEFORE,-22569.88,a
3jd6,BEFORE,21367.36,a
6bbj,BEFORE,-128237.46,a
6c6t,BEFORE,-44968.47,a
6f3k,BEFORE,-33011.24,a
5lmx,BEFORE,-167046.34,b
3g37,BEFORE,-80482.57,b
6hz7,BEFORE,-174347.91,b
5tj6,BEFORE,-133465.02,b
6mdn,BEFORE,-189193.25,b
3jc7,BEFORE,-295671.22,b
5u8t,BEFORE,-165657.82,b
2ykr,BEFORE,161890.5,b
4aau,BEFORE,-154365.31,b
3izk,BEFORE,-182114.26,b
5lmq,BEFORE,-193781.38,b
5lmt,BEFORE,-189985.69,b
3ixw,BEFORE,959603.25,b
3izj,BEFORE,-194883.81,b
3izm,BEFORE,-343360.94,b
5khr,BEFORE,-54365.37,c
4ci0,BEFORE,-248049.22,c
2vdc,BEFORE,-35240.38,c
4uer,BEFORE,103583.13,c
5fl2,AFTER,101124.1494,a
5sv9,AFTER,11380.16635,a
6e9f,AFTER,836.4471475,a
3j0e,AFTER,28720.11924,a
6jm9,AFTER,14996.09234,a
6eoj,AFTER,-21770.81209,a
5a22,AFTER,-14371.66353,a
5uk2,AFTER,-56018.14747,a
3j6c,AFTER,352086.855,a
6ifk,AFTER,-23618.61511,a
5z3u,AFTER,-62997.49855,a
5g2x,AFTER,-64599.34455,a
6b40,AFTER,-50124.27004,a
6mlm,AFTER,-66239.5403,a
3jbx,AFTER,-24804.46464,a
5g5p,AFTER,10722.83224,a
6f6w,AFTER,-5331.913596,a
6ces,AFTER,60822.12846,a
3jd6,AFTER,94103.48407,a
6bbj,AFTER,-45662.91021,a
6c6t,AFTER,45541.63257,a
6f3k,AFTER,56264.66474,a
5lmx,AFTER,-67081.69401,b
3g37,AFTER,24586.02066,b
6hz7,AFTER,-72844.95503,b
5tj6,AFTER,-36808.4658,b
6mdn,AFTER,-80527.21296,b
3jc7,AFTER,-179546.6077,b
5u8t,AFTER,-51770.37319,b
2ykr,AFTER,276079.3633,b
4aau,AFTER,-26454.73149,b
3izk,AFTER,-36710.71405,b
5lmq,AFTER,-56781.42771,b
5lmt,AFTER,-54711.75225,b
3ixw,AFTER,1111234.396,b
3izj,AFTER,-49414.01307,b
3izm,AFTER,-194679.3418,b
5khr,AFTER,89660.57808,c
4ci0,AFTER,-85729.0957,c
2vdc,AFTER,151953.6807,c
4uer,AFTER,308145.1004,c
