FittedPDBs,stoich,threshold,total number output,TP,FP,FN,precision,recall
2ynj,A14,0.05,2,1,1,0,0.500,1
2ynj,A14,0.1,3,1,2,0,0.333,1
2ynj,A14,0.15,4,1,3,0,0.250,1
2ynj,A14,0.2,6,1,5,0,0.167,1
2ynj,A14,0.25,8,1,7,0,0.125,1
2ynj,A14,0.3,9,1,8,0,0.111,1
2ynj,A14,0.35,10,1,9,0,0.100,1
2ynj,A14,0.4,12,1,11,0,0.083,1
2ynj,A14,0.45,13,1,12,0,0.077,1
2ynj,A14,0.5,14,1,13,0,0.071,1
2ynj,A14,0.55,16,1,15,0,0.063,1
2ynj,A14,0.6,18,1,17,0,0.056,1
2ynj,A14,0.65,19,1,18,0,0.053,1
2ynj,A14,0.7,20,1,19,0,0.050,1
2ynj,A14,0.75,22,1,21,0,0.045,1
2ynj,A14,0.8,24,1,23,0,0.042,1
2ynj,A14,0.85,25,1,24,0,0.040,1
2ynj,A14,0.9,26,1,25,0,0.038,1
2ynj,A14,0.95,28,1,27,0,0.036,1
2ynj,A14,1,29,1,28,0,0.034,1
2ynj,A14,1.05,30,1,29,0,0.033,1
2ynj,A14,1.1,30,1,29,0,0.033,1
2ynj,A14,1.15,31,1,30,0,0.032,1
2ynj,A14,1.2,32,1,31,0,0.031,1
2ynj,A14,1.25,32,1,31,0,0.031,1
2ynj,A14,1.3,33,1,32,0,0.030,1
2ynj,A14,1.35,34,1,33,0,0.029,1
2ynj,A14,1.4,35,1,34,0,0.029,1
2ynj,A14,1.45,35,1,34,0,0.029,1
2ynj,A14,1.5,36,1,35,0,0.028,1
2ynj,A14,1.55,37,1,36,0,0.027,1
2ynj,A14,1.6,38,1,37,0,0.026,1
2ynj,A14,1.65,38,1,37,0,0.026,1
2ynj,A14,1.7,39,1,38,0,0.026,1
2ynj,A14,1.75,40,1,39,0,0.025,1
2ynj,A14,1.8,41,1,40,0,0.024,1
2ynj,A14,1.85,41,1,40,0,0.024,1
2ynj,A14,1.9,42,1,41,0,0.024,1
2ynj,A14,1.95,43,1,42,0,0.023,1
3c9v,A14,0.05,2,0,2,1,0.000,0
3c9v,A14,0.1,4,0,4,1,0.000,0
3c9v,A14,0.15,6,0,6,1,0.000,0
3c9v,A14,0.2,8,0,8,1,0.000,0
3c9v,A14,0.25,10,0,10,1,0.000,0
3c9v,A14,0.3,12,1,11,0,0.083,1
3c9v,A14,0.35,14,1,13,0,0.071,1
3c9v,A14,0.4,16,1,15,0,0.063,1
3c9v,A14,0.45,18,1,17,0,0.056,1
3c9v,A14,0.5,20,1,19,0,0.050,1
3c9v,A14,0.55,22,1,21,0,0.045,1
3c9v,A14,0.6,24,1,23,0,0.042,1
3c9v,A14,0.65,26,1,25,0,0.038,1
3c9v,A14,0.7,28,1,27,0,0.036,1
3c9v,A14,0.75,30,1,29,0,0.033,1
3c9v,A14,0.8,32,1,31,0,0.031,1
3c9v,A14,0.85,34,1,33,0,0.029,1
3c9v,A14,0.9,36,1,35,0,0.028,1
3c9v,A14,0.95,38,1,37,0,0.026,1
3c9v,A14,1,39,1,38,0,0.026,1
