PDB,Linreg,diff pdb em,group
4chv,BEFORE,-95265.06,a
5g5p,BEFORE,-45954.04,a
5fwk,BEFORE,-71977.78,a
6e9e,BEFORE,-38519.93,a
5fkw,BEFORE,-70940.54,a
5fku,BEFORE,-54154.81,a
6mgw,BEFORE,-14228.92,a
6iy3,BEFORE,69167.56,a
5uz7,BEFORE,-31182.99,a
6niy,BEFORE,246787.52,a
5mz6,BEFORE,-62940.91,a
3jby,BEFORE,-81228.65,a
6cmx,BEFORE,247621.82,a
4chv,AFTER,-101405.7814,a
5g5p,AFTER,-35826.07463,a
5fwk,AFTER,-46819.33903,a
6e9e,AFTER,-9397.129067,a
5fkw,AFTER,-78648.24123,a
5fku,AFTER,-71785.33945,a
6mgw,AFTER,14375.33129,a
6iy3,AFTER,97671.51628,a
5uz7,AFTER,-9030.556027,a
6niy,AFTER,276504.5671,a
5mz6,AFTER,-37709.0722,a
3jby,AFTER,-53336.91679,a
6cmx,AFTER,280016.0198,a
5g4f,BEFORE,-145197.78,b
6gsa,BEFORE,-202967.09,b
5uk2,BEFORE,-114850.78,b
5z3t,BEFORE,-126005.4,b
5gaq,BEFORE,-90495.16,b
6bo5,BEFORE,-124291.71,b
3j98,BEFORE,-261369.72,b
6f6w,BEFORE,-218890.88,b
6ces,BEFORE,-12900.85,b
2ykr,BEFORE,144412.94,b
5fkx,BEFORE,190196.42,b
6c6t,BEFORE,-102292.59,b
6c6s,BEFORE,-58847.22,b
3izk,BEFORE,-130387.81,b
3izj,BEFORE,-208139.43,b
3izm,BEFORE,-303999.94,b
5g4f,AFTER,-146546.108,b
6gsa,AFTER,-179859.648,b
5uk2,AFTER,-97418.70325,b
5z3t,AFTER,-101396.1431,b
5gaq,AFTER,-56113.26931,b
6bo5,AFTER,-95055.82636,b
3j98,AFTER,-274771.8782,b
6f6w,AFTER,-191089.0245,b
6ces,AFTER,13101.71643,b
2ykr,AFTER,117539.0047,b
5fkx,AFTER,198165.1641,b
6c6t,AFTER,-70396.13958,b
6c6s,AFTER,-28772.79764,b
3izk,AFTER,-105260.8924,b
3izj,AFTER,-202495.7614,b
3izm,AFTER,-300882.8579,b
6hz6,BEFORE,-125451.28,c
6hz8,BEFORE,-112261.53,c
3g37,BEFORE,-60182.32,c
2vdc,BEFORE,167844.75,c
4uer,BEFORE,28514,c
5lms,BEFORE,-138746.5,c
5lmt,BEFORE,-159497.44,c
5lmv,BEFORE,-215584.74,c
6hz6,AFTER,-100100.222,c
6hz8,AFTER,-86841.64658,c
3g37,AFTER,-51395.83129,c
2vdc,AFTER,152728.2822,c
4uer,AFTER,46615.97972,c
5lms,AFTER,-116146.6835,c
5lmt,AFTER,-127748.5193,c
5lmv,AFTER,-190591.3414,c
5tji,BEFORE,-181875.12,d
5jm0,BEFORE,-62221.5,d
3j9c,BEFORE,-165976.23,d
5fl2,BEFORE,-1992.09,d
3j6c,BEFORE,101466.91,d
5tji,AFTER,-151902.624,d
5jm0,AFTER,-57342.88507,d
3j9c,AFTER,-128136.678,d
5fl2,AFTER,7295.537285,d
3j6c,AFTER,71279.65937,d
