PDB,EMDB,PDBVOL,EMVOL,LINREG,group
5fl2,emd_3206,698785.9,624170.88,BEFORE,a
5sv9,emd_8313,91929.32,44784.14,BEFORE,a
6e9f,emd_9014,130651.57,62763.82,BEFORE,a
3j0e,emd_1918,177628.09,142772.06,BEFORE,a
6jm9,emd_9843,215002.05,162650.44,BEFORE,a
6eoj,emd_3908,221426.39,123825.48,BEFORE,a
5a22,emd_6337,267988,163769.39,BEFORE,a
5uk2,emd_8564,325876.72,177801.7,BEFORE,a
3j6c,emd_5890,141675.12,448865.62,BEFORE,a
6ifk,emd_9653,349084.16,235631.52,BEFORE,a
5z3u,emd_6882,294795.88,158669.58,BEFORE,a
5g2x,emd_3331,366211.22,222948.91,BEFORE,b
6b40,emd_7046,284127.12,150253.45,BEFORE,b
6mlm,emd_9139,286840.47,141936.09,BEFORE,b
3jbx,emd_6487,273079.94,167621.34,BEFORE,b
5g5p,emd_3440,108848.54,59641.61,BEFORE,b
6f6w,emd_4192,378160.44,278442.84,BEFORE,b
6ces,emd_7464,379976.88,350841.72,BEFORE,b
3jd6,emd_6425,222566.56,253753.17,BEFORE,b
6bbj,emd_7075,366280.91,219587.83,BEFORE,b
6c6t,emd_7350,467040.81,422173.53,BEFORE,b
6f3k,emd_4179,426907.68,408603.16,BEFORE,b
5lmx,emd_4088,582889.81,374590.38,BEFORE,b
3g37,emd_1674,643856.06,559701.94,BEFORE,b
6hz7,emd_0313,603863.62,379579.75,BEFORE,b
5tj6,emd_8410,536425.92,372513.56,BEFORE,b
6mdn,emd_9101,692288.38,475603.03,BEFORE,c
3jc7,emd_6536,772212.44,438625.59,BEFORE,c
5u8t,emd_8519,745861.12,550527.94,BEFORE,c
2ykr,emd_1884,733395.31,915860.75,BEFORE,c
4aau,emd_2001,935559.31,741947.5,BEFORE,c
3izk,emd_5247,1123715.25,906371.19,BEFORE,c
5lmq,emd_4076,1004020.88,792477.06,BEFORE,c
5lmt,emd_4079,994340.69,769259.06,BEFORE,c
3ixw,emd_5101,1195870.62,1987517.38,BEFORE,c
3izj,emd_5246,1131843,856120.12,BEFORE,c
3izm,emd_5249,1166630.88,746807.25,BEFORE,c
5khr,emd_4025,1086983,1025900.12,BEFORE,d
4ci0,emd_2513,1305720.24,1097548.88,BEFORE,d
2vdc,emd_1440,1628186.5,1485775,BEFORE,d
4uer,emd_2845,1791077.5,1971746.38,BEFORE,d
5fl2,emd_3206,572469.6081,624170.88,AFTER,a
5sv9,emd_8313,17558.149,44784.14,AFTER,a
6e9f,emd_9014,52965.88941,62763.82,AFTER,a
3j0e,emd_1918,95921.35882,142772.06,AFTER,a
6jm9,emd_9843,130096.2188,162650.44,AFTER,a
6eoj,emd_3908,135970.6544,123825.48,AFTER,a
5a22,emd_6337,178546.7289,163769.39,AFTER,a
5uk2,emd_8564,231480.3464,177801.7,AFTER,a
3j6c,emd_5890,63045.85627,448865.62,AFTER,a
6ifk,emd_9653,252701.2984,235631.52,AFTER,a
5z3u,emd_6882,203059.934,158669.58,AFTER,a
5g2x,emd_3331,268362.333,222948.91,AFTER,b
6b40,emd_7046,193304.3882,150253.45,AFTER,b
6mlm,emd_9139,195785.4834,141936.09,AFTER,b
3jbx,emd_6487,183202.8139,167621.34,AFTER,b
5g5p,emd_3440,33029.13402,59641.61,AFTER,b
6f6w,emd_4192,279288.7352,278442.84,AFTER,b
6ces,emd_7464,280949.6934,350841.72,AFTER,b
3jd6,emd_6425,137013.2293,253753.17,AFTER,b
6bbj,emd_7075,268426.0577,219587.83,AFTER,b
6c6t,emd_7350,360561.2095,422173.53,AFTER,b
6f3k,emd_4179,323863.3563,408603.16,AFTER,b
5lmx,emd_4088,466493.8792,374590.38,AFTER,b
3g37,emd_1674,522241.5993,559701.94,AFTER,b
6hz7,emd_0313,485672.3934,379579.75,AFTER,b
5tj6,emd_8410,424007.1602,372513.56,AFTER,b
6mdn,emd_9101,566528.2565,475603.03,AFTER,c
3jc7,emd_6536,639611.0544,438625.59,AFTER,c
5u8t,emd_8519,615515.3291,550527.94,AFTER,c
2ykr,emd_1884,604116.5554,915860.75,AFTER,c
4aau,emd_2001,788975.9174,741947.5,AFTER,c
3izk,emd_5247,961026.2678,906371.19,AFTER,c
5lmq,emd_4076,851577.3804,792477.06,AFTER,c
5lmt,emd_4079,842725.7859,769259.06,AFTER,c
3ixw,emd_5101,1027005.352,1987517.38,AFTER,c
3izj,emd_5246,968458.3065,856120.12,AFTER,c
3izm,emd_5249,1000268.447,746807.25,AFTER,c
5khr,emd_4025,927438.1893,1025900.12,AFTER,d
4ci0,emd_2513,1127452.171,1097548.88,AFTER,d
2vdc,emd_1440,1422316.277,1485775,AFTER,d
4uer,emd_2845,1571264.291,1971746.38,AFTER,d
